hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1437315602,false,2,0,34,0
1101020018,1437316200,false,0,0,10,3
0601160016,,false,4,0,14,1
0936060016,1437315600,false,3,0,0,0
1131050515,1437315602,false,2,0,6,1
0401180014,1437314702,false,1,0,73,2
0439010518,1437314702,false,0,0,23,0
1101150011,1437315000,false,3,0,24,0
1434020015,1437315573,false,2,0,2,0
1122010012,1437315455,false,6,0,27,3
1301200010,1437315540,false,5,0,34,0
1317040011,1437315608,false,7,0,9,2
1145010010,1437313740,false,1,0,36,0
0602030026,1437315300,true,6,2,46,0
1142120001,1437315608,false,0,0,29,0
1536030075,1437315600,false,1,0,9,0
0936050029,1437315600,false,3,0,1,0
1302050014,1437315601,false,5,7,58,0
1331040513,1437315608,false,3,0,4,0
0943030019,1437315600,true,0,0,0,0
0501110514,,false,0,0,5,1
1131010011,1437315600,false,7,34,62,0
0617060018,1437315609,false,3,0,25,1
1137010024,1437315605,false,0,0,32,0
1111060015,1437315608,false,2,0,14,1
0421040011,1437315609,false,7,5,22,4
1132070011,1437315608,false,2,0,134,3
1142100017,1437315609,false,0,0,104,5
1140010510,1437315609,false,0,0,13,0
0937010019,1437315610,false,0,0,4,1
1105050012,,false,0,0,3,0
1141090512,,false,2,0,8,0
1141310019,,false,2,0,1,0
1101100011,1437315720,false,3,0,28,0
