hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1435623602,false,1,0,66,3
0601160016,,false,1,0,34,0
1101020018,1435624200,false,4,0,13,4
1434020015,1435623573,false,0,0,16,0
1142120001,1435623602,true,0,2,81,0
0936060016,1435623599,false,0,0,1,0
0439010518,1435622704,false,0,0,14,1
1302050014,1435623583,true,3,8,77,0
1145010010,1435621740,true,0,0,40,1
0401180014,1435622704,false,0,3,106,2
1101150011,1435623000,true,1,3,23,0
1131050515,1435623543,false,4,0,11,0
1301200010,1435623600,false,1,0,32,3
0936050029,1435623600,false,1,0,2,0
1137010024,1435623597,false,0,0,56,0
1536030075,1435623600,false,1,0,3,0
0501110514,,false,3,0,6,6
1331040513,1435623602,false,2,10,29,2
0617060018,1435623603,false,4,0,36,1
0421040011,1435623603,false,7,0,26,1
0943030019,1435623600,true,2,0,16,1
1131100010,1435623600,false,0,0,9,0
1132070011,1435623603,false,6,0,143,2
1111060015,1435623603,false,1,0,29,1
0602030026,1435623300,true,3,29,64,0
1142100017,1435623603,false,0,0,139,2
1140010510,1435623603,true,5,0,33,0
0937010019,1435623605,false,0,0,12,0
1131010011,1435623600,false,3,39,70,1
1105050012,,false,1,0,11,0
1141090512,,false,2,0,11,0
1141310019,,false,5,0,61,0
1122010012,1435623480,false,0,0,42,2
1317040011,1435623611,false,1,0,5,0
1101100011,1435623720,false,1,0,35,1
