hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1432950002,false,0,0,63,0
0601160016,,false,3,2,21,0
0439010518,1432947917,false,0,0,17,0
1434020015,1432949859,false,2,0,5,0
1101020018,1432951200,false,0,0,11,3
1142120001,1432950002,false,2,0,28,0
0602030026,1432949700,true,1,16,51,0
0936060016,1432949870,false,8,0,1,0
0401180014,1432947909,false,3,0,66,5
1302050014,1432949990,true,3,2,69,1
1145010010,1432948080,false,0,0,15,0
1317040011,1432950002,false,2,0,4,0
1131050515,1432949944,false,0,0,5,0
1301200010,1432949940,false,3,0,28,0
1536030075,1432950000,false,0,0,2,0
1101150011,1432949400,false,0,0,31,0
0936050029,1432950000,false,1,0,1,0
1331040513,1432950001,false,6,13,17,2
0501110514,,false,2,0,3,1
0617060018,1432950002,false,2,0,41,0
0421040011,1432950003,false,3,0,20,5
1131010011,1432950000,false,5,30,65,1
1137010024,1432949997,false,0,0,22,0
1132070011,1432950002,false,2,0,174,0
1111060015,1432950001,false,1,0,8,0
1142100017,1432950002,true,4,113,131,5
1140010510,1432950002,false,3,0,4,0
0943030019,1432950000,false,2,0,2,1
0937010019,1432950003,false,0,0,7,0
1122010012,1432950002,false,3,0,20,2
1105050012,,false,0,0,2,0
1141310019,,false,1,0,0,0
1141090512,,false,1,0,8,0
1101100011,1432950120,false,0,32,34,0
