hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1434318003,false,0,0,75,6
1131050515,1434317942,false,1,0,12,0
0601160016,,true,0,0,28,0
1101020018,1434319200,false,1,0,3,0
0439010518,1434315902,false,0,0,16,1
1142120001,1434318002,true,3,7,71,1
1101150011,1434317400,false,0,0,33,0
1434020015,1434317852,false,0,0,10,0
0936060016,1434317889,false,2,0,1,0
0401180014,1434315902,true,0,10,93,4
1145010010,1434316740,true,0,0,60,4
1302050014,1434317994,true,1,20,91,6
1317040011,1434318002,false,0,0,8,0
1122010012,1434317985,false,1,0,26,1
0501110514,,false,0,0,2,1
1301200010,1434318000,false,2,0,35,0
0936050029,1434317940,false,0,0,3,0
1137010024,1434317999,false,0,0,45,0
1131010011,1434318000,false,2,29,54,2
1331040513,1434318002,false,1,0,12,1
0617060018,1434318003,false,0,0,37,4
0943030019,1434318000,false,0,0,8,0
1536030075,1434317940,false,1,0,2,1
0421040011,1434318003,false,0,0,25,2
1131100010,1434318000,false,0,0,10,0
1111060015,1434318002,false,0,0,14,0
1132070011,1434318002,true,4,18,191,1
1142100017,1434318002,true,0,100,151,4
1140010510,1434318002,false,0,0,13,2
0602030026,1434317700,true,0,17,51,1
0937010019,1434318008,false,0,0,3,0
1105050012,,false,0,0,27,0
1141310019,,false,0,0,53,7
1141090512,,false,1,0,20,0
1101100011,1434318120,false,2,0,39,1
