hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1435932002,false,0,0,29,3
1101020018,1435932000,false,0,0,3,1
1434020015,1435931915,false,1,0,4,0
0439010518,1435928702,false,0,0,14,0
0601160016,,false,2,0,14,0
0936060016,1435872403,false,0,0,2,0
0401180014,1435928702,false,0,0,56,1
1145010010,1435931340,false,0,0,19,0
1142120001,1435932002,false,7,0,55,0
1101150011,1435931400,false,0,0,36,3
1302050014,1435931990,true,3,16,76,0
0936050029,1435931940,false,0,0,2,0
1137010024,1435932001,false,0,0,23,0
1536030075,1435931940,false,0,0,1,0
0617060018,1435932003,false,1,0,34,0
1301200010,1435932000,false,8,0,35,3
0943030019,1435932000,true,0,0,1,0
1331040513,1435932002,false,4,0,16,0
0421040011,1435932003,true,9,11,23,0
1131100010,1435932000,false,0,0,7,0
0501110514,,false,0,0,6,1
1131050515,1435931943,false,2,0,1,0
0602030026,1435931700,true,6,34,55,1
1132070011,1435932002,false,4,0,88,0
1131010011,1435932000,false,2,33,62,0
1111060015,1435932002,false,1,0,25,0
1142100017,1435932002,false,0,0,116,3
1140010510,1435932002,false,0,0,33,0
0937010019,1435932006,false,0,0,4,0
1317040011,1435932007,false,9,0,7,0
1122010012,1435931967,false,12,0,16,2
1141310019,,false,7,0,19,1
1141090512,,false,2,0,13,0
1105050012,,false,2,0,4,0
1101100011,1435932120,false,4,0,23,0
