hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1434896401,false,5,0,46,3
1131050515,1434896342,false,8,0,4,1
0439010518,1434895502,false,4,0,19,1
1101020018,1434897000,false,3,0,2,2
1434020015,1434896375,false,3,0,8,0
0601160016,,false,2,0,22,1
0936060016,1434896400,false,0,0,1,0
1142120001,1434896402,false,8,0,47,0
0401180014,1434895502,false,4,10,87,3
1302050014,1434896386,true,8,46,70,4
1101150011,1434895800,false,5,7,29,0
1301200010,1434896400,false,4,0,15,1
0501110514,,false,1,0,1,0
0936050029,1434896340,false,2,0,9,0
1145010010,1434894540,false,2,0,23,0
1536030075,1434896340,false,0,0,5,0
1137010024,1434896398,false,0,0,42,1
1331040513,1434896401,false,5,0,1,0
0617060018,1434896402,false,1,0,39,5
0943030019,1434896400,false,1,0,5,0
0421040011,1434896402,false,7,0,23,2
1131010011,1434896400,false,14,45,74,1
1132070011,1434896402,false,15,0,172,1
1111060015,1434896402,false,2,0,12,1
0602030026,1434896113,true,9,18,49,0
1142100017,1434896402,true,4,145,119,5
1140010510,1434896402,false,4,0,21,2
1317040011,1434896406,false,8,0,7,0
1131100010,1434896400,false,1,0,14,0
0937010019,1434896403,false,0,0,10,0
1122010012,1434896407,false,14,0,24,3
1141090512,,false,4,0,14,0
1105050012,,false,1,0,26,0
1141310019,,false,13,0,41,5
1101100011,1434896460,false,6,11,24,0
