hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1438354801,false,0,0,0,0
0601160016,,false,6,0,12,0
0401180014,1438351503,false,3,10,79,2
1434020015,1438354713,false,0,0,1,0
1131010011,1438354800,false,7,22,37,1
1101020018,1438354800,false,0,0,7,1
1145010010,1438053480,false,0,0,24,1
1101150011,1438354200,false,1,0,24,0
0936060016,1438354800,false,1,0,1,0
1122010012,1438354751,false,23,0,21,1
1301200010,1438354740,false,4,0,25,5
0439010518,1438351504,false,2,0,21,0
0602030026,1438354500,false,0,0,38,0
1142120001,1438354807,false,5,0,35,0
1317040011,1438354807,false,3,0,8,0
1536030075,1438354800,false,0,0,3,0
1331040513,1438354807,false,0,0,5,1
0936050029,1438354800,false,0,0,3,1
1131050515,1438354749,false,4,0,1,0
0943030019,1438354800,true,0,0,0,0
0617060018,1438354808,false,2,0,35,1
1137010024,1438354794,false,0,0,27,0
0501110514,,false,0,0,4,0
0421040011,1438354808,false,1,0,21,1
1302050014,1438354796,false,0,1,65,1
1111060015,1438354807,false,0,0,8,0
1132070011,1438354807,true,0,37,119,0
1140010510,1438354807,false,2,0,7,0
0937010019,1438354810,false,0,0,3,0
1142100017,1438354808,false,2,0,79,1
1105050012,,false,0,0,0,0
1141090512,,false,3,0,0,0
1141310019,,false,2,0,46,3
1101100011,1438354920,false,5,0,20,0
