hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1439083202,false,0,0,0,0
1101020018,1439083800,false,0,0,8,0
0601160016,,false,4,0,14,1
1434020015,1439083175,false,2,0,1,0
1131050515,1439083206,false,3,0,4,0
1301200010,1439083140,false,3,0,3,0
1101150011,1439082600,false,4,0,28,0
1145010010,1439081340,false,1,0,11,0
1131010011,1439083200,false,2,31,60,0
0936060016,1439083200,false,9,0,0,0
1122010012,1439083126,false,3,0,26,2
0401180014,1439082302,false,2,0,74,1
0439010518,1439082302,false,1,0,17,0
1142120001,1439083208,false,6,0,39,0
0602030026,1439082900,false,1,0,30,2
0936050029,1439083200,false,3,0,0,0
1302050014,1439083198,false,2,0,43,0
1317040011,1439083208,false,5,0,3,0
0501110514,,false,3,0,5,3
1331040513,1439083207,false,7,0,8,0
1536030075,1439083200,false,0,0,6,1
0617060018,1439083208,false,1,0,26,1
0943030019,1439083200,true,5,0,3,0
1132070011,1439083208,false,7,0,122,0
1111060015,1439083207,false,2,0,8,0
0937010019,1439083210,false,0,0,7,0
1141310019,,false,5,0,33,0
1141090512,,false,2,0,11,1
1142100017,1439083208,false,1,0,72,2
1105050012,,false,2,0,2,0
1140010510,1439083208,false,0,0,5,0
0421040011,1439083224,false,4,0,37,0
1137010024,1439083335,true,0,0,0,0
1101100011,1439083320,false,1,0,20,0
