hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1436864401,false,1,0,51,0
0501110514,,false,2,0,5,1
1101020018,1436864400,false,1,0,4,0
0601160016,,true,2,0,28,0
1434020015,1436864316,false,3,0,0,0
0617060018,1436864402,false,6,0,44,3
1145010010,1436863140,false,0,0,14,0
1122010012,1436864381,false,7,0,22,1
1131010011,1436864400,true,6,31,64,1
1131050515,1436864356,false,0,0,2,2
1101150011,1436863800,false,1,0,27,0
1142120001,1436864403,false,1,0,49,0
1331040513,1436864402,false,5,6,19,1
1302050014,1436864397,false,3,1,67,1
1317040011,1436864403,false,0,0,9,1
0602030026,1436864100,true,0,13,50,0
0401180014,1436861102,false,1,5,76,2
1137010024,1436864397,false,0,0,30,0
1301200010,1436864340,false,4,0,16,2
1131100010,1436864400,false,1,0,31,0
0439010518,1436861103,false,3,0,11,1
0936050029,1436864400,false,0,0,1,0
0943030019,1436864400,true,1,0,3,0
1536030075,1436864400,false,1,0,5,0
1111060015,1436864402,false,0,0,23,1
0421040011,1436864405,true,3,0,29,2
1132070011,1436864403,false,0,0,98,6
1140010510,1436864403,false,1,0,18,0
1142100017,1436864403,false,0,0,118,5
0937010019,1436864407,false,0,0,7,2
1141310019,,false,4,0,34,0
1141090512,,false,2,0,13,0
1105050012,,false,1,0,4,0
1101100011,1436864520,false,2,0,25,0
