hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1432653602,false,0,0,52,1
0601160016,,true,6,0,33,0
0439010518,1432652714,false,1,0,12,0
1101020018,1432654200,false,1,0,10,4
1142120001,1432653602,false,1,0,49,0
1101150011,1432653000,true,3,14,38,1
0936060016,1432653535,false,2,0,2,0
1131050515,1432653542,false,1,0,5,0
1145010010,1432652940,false,0,0,14,0
0401180014,1432652714,false,2,0,82,4
1122010012,1432653595,false,2,0,18,1
1302050014,1432653598,false,3,11,62,2
1434020015,1432653574,false,2,0,8,0
1301200010,1432653600,false,8,0,13,0
1536030075,1432653600,false,0,0,1,0
0936050029,1432653600,false,1,0,2,1
1331040513,1432653602,false,4,0,11,0
1137010024,1432653601,false,0,0,27,1
1317040011,1432653603,false,0,0,4,0
0617060018,1432653603,false,1,0,23,2
0943030019,1432653600,false,2,0,0,0
0421040011,1432653603,true,5,0,27,5
0501110514,,false,1,0,10,2
1132070011,1432653602,false,7,0,207,1
1111060015,1432653602,false,0,0,12,0
0602030026,1432653300,true,1,7,53,1
1142100017,1432653602,true,1,114,98,1
0937010019,1432653605,false,0,0,8,1
1140010510,1432653602,false,1,0,15,0
1131010011,1432653600,false,4,32,58,1
1105050012,,false,2,0,0,0
1141310019,,false,3,0,34,4
1141090512,,false,1,0,2,0
1101100011,1432653720,false,3,38,34,1
