hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1439497202,false,0,0,0,0
1101020018,1439497800,false,0,0,17,2
0601160016,,false,1,0,18,0
1434020015,1439497173,false,0,0,4,0
1131050515,1439497203,false,0,0,7,0
1145010010,1439374920,false,0,0,15,0
0401180014,1439496303,false,1,0,71,3
0936060016,1439497200,false,1,0,1,0
1122010012,1439497075,false,0,0,29,1
1101150011,1439496600,false,0,0,36,0
1301200010,1439497140,false,2,0,17,0
0439010518,1439496303,false,0,0,17,0
0501110514,,false,0,0,13,0
1131010011,1439497200,false,2,30,64,0
1142120001,1439497208,false,4,0,63,0
0602030026,1439496900,false,0,0,42,0
1317040011,1439497208,false,0,0,7,0
1331040513,1439497207,false,0,1,32,0
0943030019,1439497200,true,1,0,1,0
0936050029,1439497200,false,1,0,7,0
1137010024,1439497199,false,0,0,27,0
1111060015,1439497208,false,0,0,14,0
1536030075,1439497200,false,1,0,1,0
0617060018,1439497209,false,0,0,37,2
1132070011,1439497208,false,1,0,123,2
1302050014,1439497195,true,0,5,70,0
1140010510,1439497208,false,0,0,17,0
1142100017,1439497209,false,0,0,87,2
0937010019,1439497209,false,0,0,6,0
1105050012,,false,0,0,8,0
1141310019,,false,1,0,34,0
1141090512,,false,0,0,11,0
0421040011,1439497223,true,1,2,42,2
1101100011,1439497380,false,7,0,29,0
