hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1434853202,false,4,0,44,4
1131050515,1434853146,false,5,0,3,0
1101020018,1434853800,false,1,0,5,2
1101150011,1434852600,false,6,0,21,0
0601160016,,false,10,0,17,2
1142120001,1434853202,true,14,12,40,0
0936060016,1434853039,false,1,0,0,1
1145010010,1434851340,false,5,0,21,0
0439010518,1434852302,false,2,0,20,0
1302050014,1434853186,false,7,16,54,4
1317040011,1434853202,false,4,0,10,0
0401180014,1434852302,false,9,6,112,6
0501110514,,false,2,0,6,0
1434020015,1434853175,false,4,0,11,0
1536030075,1434853140,false,3,0,2,0
1301200010,1434853200,false,8,0,12,1
0936050029,1434853140,false,1,0,3,0
1137010024,1434853200,false,0,0,34,1
1131010011,1434853200,false,9,28,62,1
1331040513,1434853202,false,4,0,7,0
0617060018,1434853202,false,0,0,32,2
0421040011,1434853203,false,9,0,22,2
1131100010,1434853200,false,2,0,9,0
0943030019,1434853200,false,4,0,6,0
1132070011,1434853203,true,7,29,155,1
1111060015,1434853203,false,4,0,6,0
1142100017,1434853203,true,2,104,100,2
1140010510,1434853203,false,4,0,8,2
0937010019,1434853204,false,0,0,10,0
0602030026,1434852900,true,1,34,51,1
1122010012,1434853172,false,13,0,22,5
1105050012,,false,0,0,17,0
1141090512,,false,13,0,9,0
1141310019,,false,12,0,15,3
1101100011,1434853320,false,5,0,27,0
