hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1430793601,false,0,0,57,5
1101020018,1430794800,false,0,0,12,1
0439010518,1430791536,false,6,0,17,0
1142120001,1430793602,false,4,0,53,0
0936060016,1430793518,false,3,0,1,0
1145010010,1430792340,false,0,0,26,0
0601160016,,false,8,0,24,0
0401180014,1430791532,true,3,10,91,5
1317040011,1430793602,false,6,0,11,1
1122010012,1430793599,false,2,0,24,1
1301200010,1430793540,false,0,0,29,2
1101150011,1430793000,true,0,10,36,0
0936050029,1430793600,false,2,0,3,0
1536030075,1430793600,false,0,0,2,0
1331040513,1430793601,false,5,15,15,1
0501110514,,false,0,0,6,1
0617060018,1430793602,false,2,0,56,4
0421040011,1430793603,false,4,0,42,5
1302050014,1430793606,false,2,10,60,2
1131050515,1430793545,false,2,0,7,1
0943030019,1430793600,false,3,0,11,0
1434020015,1430793491,false,2,0,6,0
1111060015,1430793601,false,0,0,28,2
1132070011,1430793601,true,2,50,189,12
0602030026,1430793300,true,2,22,56,2
1131010011,1430793600,true,6,33,62,0
1142100017,1430793602,true,1,89,109,5
1140010510,1430793601,true,0,0,40,0
1137010024,1430793600,false,0,0,38,0
0937010019,1430793604,false,0,0,21,0
1141310019,,false,3,0,48,5
1141090512,,false,0,0,14,0
1105050012,,false,0,0,0,0
1101100011,1430793720,false,3,37,28,0
