hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1131050515,1433973542,false,0,0,10,1
1317050017,1433973602,false,0,0,66,2
1101150011,1433973000,true,1,5,29,0
0439010518,1433970317,false,0,0,20,0
1101020018,1433973600,false,0,0,6,2
0601160016,,false,1,0,39,0
1434020015,1433973513,false,0,0,11,0
0936060016,1433973586,false,0,0,1,0
1142120001,1433973602,false,4,0,63,0
1302050014,1433973587,true,2,35,105,0
1145010010,1433972940,false,0,0,35,0
0401180014,1433970317,true,0,30,135,7
1122010012,1433973458,false,5,0,19,0
0501110514,,false,1,0,4,4
1317040011,1433973602,false,1,0,3,0
1536030075,1433973600,false,1,0,5,0
0936050029,1433973600,false,0,0,3,1
1301200010,1433973600,false,1,0,24,2
1137010024,1433973594,false,0,0,46,1
1331040513,1433973602,false,0,1,23,1
0617060018,1433973602,false,2,0,46,1
0943030019,1433973600,false,2,0,12,0
0421040011,1433973603,false,1,0,35,3
1132070011,1433973602,true,0,5,201,1
1131010011,1433973600,false,2,31,74,0
0602030026,1433973300,true,0,21,55,0
1142100017,1433973602,true,1,97,142,1
1140010510,1433973602,false,0,0,23,0
1111060015,1433973602,false,0,0,24,0
1105050012,,false,0,0,17,0
1141090512,,false,0,0,25,0
1141310019,,false,5,0,45,0
0937010019,1433973616,false,0,0,6,0
1101100011,1433973720,false,2,0,36,0
