hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1431428401,false,0,0,60,3
1131050515,1431428345,false,1,0,0,0
1101020018,1431428400,false,3,4,5,2
0601160016,,false,4,0,19,0
1101150011,1431427800,true,1,7,26,0
0936060016,1431428217,false,1,0,1,0
0439010518,1431425108,false,1,0,15,0
1142120001,1431428402,false,3,0,14,0
1434020015,1431428313,false,6,0,2,0
1145010010,1431427680,true,0,0,33,0
0401180014,1431425108,false,1,5,75,1
1302050014,1431428396,false,2,0,47,4
1122010012,1431428349,null,4,0,21,1
1301200010,1431428400,false,2,0,6,1
0936050029,1431428400,false,0,0,3,0
0501110514,,false,1,0,9,0
1536030075,1431428400,false,1,0,1,0
1331040513,1431428401,false,4,3,14,2
1137010024,1431428396,false,0,0,32,2
0617060018,1431428402,false,1,0,52,4
0421040011,1431428403,false,4,0,15,2
0943030019,1431428400,false,1,0,1,0
0602030026,1431428100,true,6,6,39,0
1132070011,1431428402,true,1,24,135,1
1111060015,1431428402,false,1,0,19,0
1142100017,1431428402,true,4,115,102,1
1140010510,1431428402,false,0,0,4,2
0937010019,1431428405,false,0,0,13,0
1131010011,1431428400,false,4,28,50,1
1317040011,1431428408,false,6,0,11,0
1141310019,,false,4,0,32,1
1105050012,,false,0,0,0,0
1141090512,,false,0,0,4,0
1101100011,1431428520,false,3,41,38,0
