hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1438460402,false,0,0,0,0
1101020018,1438461000,false,1,0,1,0
1434020015,1438460375,false,0,0,0,0
0936060016,1438460400,false,0,0,1,0
1145010010,1438053480,false,0,0,24,1
1122010012,1438460403,false,3,0,13,0
0401180014,1438459508,false,1,10,95,0
1131050515,1438460406,false,0,0,7,0
1101150011,1438459800,false,0,0,20,0
0601160016,,false,1,0,14,0
1131010011,1438460400,false,5,19,37,0
0439010518,1438459508,false,0,0,13,0
1142120001,1438460408,false,4,0,24,0
1301200010,1438460340,false,1,0,9,4
0602030026,1438460100,false,2,0,43,0
1317040011,1438460408,false,4,0,5,0
1331040513,1438460407,false,1,0,9,0
0936050029,1438460400,false,0,0,0,0
1137010024,1438460406,false,0,0,19,0
0943030019,1438460400,true,0,0,7,0
1111060015,1438460408,false,0,0,4,0
0617060018,1438460409,false,0,0,40,0
1536030075,1438460400,false,0,0,0,0
0501110514,,false,2,0,3,0
0421040011,1438460409,false,0,0,20,1
1132070011,1438460408,false,5,0,115,0
1140010510,1438460408,false,0,0,9,2
0937010019,1438460409,false,0,0,1,2
1142100017,1438460408,false,1,0,72,0
1302050014,1438460398,false,0,0,57,0
1141310019,,false,1,0,11,0
1105050012,,false,0,0,0,0
1141090512,,false,0,0,8,0
1101100011,1438460520,false,6,0,13,0
