hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1436384401,false,1,0,50,0
1131050515,1436384345,false,0,0,6,0
0439010518,1436382304,false,0,0,10,0
0602030026,1436384100,true,0,18,74,1
1101020018,1436385600,false,1,0,13,4
0936060016,1435961720,false,2,0,0,0
0601160016,,false,0,0,31,0
1302050014,1436384386,false,2,8,80,2
0401180014,1436382304,false,0,0,60,0
1145010010,1436383140,false,0,0,23,1
1101150011,1436383800,false,1,0,29,0
1142120001,1436384402,true,1,1,83,0
1434020015,1436384253,false,0,0,7,0
1317040011,1436384402,false,0,0,4,0
1131010011,1436384400,false,2,28,62,0
1301200010,1436384340,false,1,0,29,0
0501110514,,false,0,0,4,0
0936050029,1436384400,false,0,0,1,0
1137010024,1436384395,false,0,0,31,0
1331040513,1436384401,false,0,11,34,1
0617060018,1436384402,false,1,0,47,3
1536030075,1436384400,false,1,0,10,0
0943030019,1436384400,true,0,0,5,1
0421040011,1436384403,false,1,0,22,3
1131100010,1436384400,false,0,0,22,0
1111060015,1436384401,false,0,0,30,0
1132070011,1436384402,false,10,0,118,0
1142100017,1436384402,false,0,0,133,3
1140010510,1436384402,false,0,0,38,1
1141310019,,false,0,0,50,0
1105050012,,false,0,0,5,0
1141090512,,false,0,0,18,0
0937010019,1436384407,false,0,0,20,0
1122010012,1436384256,false,2,0,33,0
1101100011,1436384520,false,2,0,27,1
