hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1428858002,false,3,0,26,2
1131050515,1428857945,false,1,0,10,3
1101150011,1428857400,false,8,4,29,0
0936060016,1428857833,false,1,0,0,0
1101020018,1428858000,false,0,0,6,6
0401180014,1428854727,false,4,10,93,5
0601160016,,false,2,0,18,1
0439010518,1428854727,false,0,0,12,0
1145010010,1428857280,false,0,0,19,0
1142120001,1428858002,false,3,0,45,0
0501110514,,false,0,0,7,3
1434020015,1428857951,false,1,0,4,0
1317040011,1428858003,false,1,0,8,0
1331040513,1428858002,false,1,0,4,0
1122010012,1428857984,false,2,0,16,2
1536030075,1428858000,false,1,0,1,0
0617060018,1428858003,false,2,0,29,0
1301200010,1428857940,false,1,0,19,3
0943030019,1428858000,false,0,0,9,1
0936050029,1428858000,false,1,0,0,0
1137010024,1428857999,false,0,0,23,1
1131010011,1428858000,false,4,28,45,0
1302050014,1428857997,false,4,0,49,4
0602030026,1428857700,true,0,1,44,2
0421040011,1428858004,false,1,0,17,1
1132070011,1428858002,true,1,17,159,3
1111060015,1428858002,false,0,3,34,1
0937010019,1428858004,false,0,0,8,0
1142100017,1428858002,false,1,0,124,5
1140010510,1428858002,false,1,0,18,1
1105050012,,false,0,0,1,0
1141310019,,false,2,0,36,8
1141090512,,false,4,0,14,0
1101100011,1428858120,false,2,42,31,0
