hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1436182802,false,2,0,41,2
1101150011,1436182200,false,3,0,22,0
0601160016,,false,2,0,18,1
1101020018,1436184000,false,2,0,5,4
0936060016,1435961720,false,2,0,0,0
0439010518,1436180703,false,3,0,6,0
1145010010,1436181540,false,3,0,20,0
1142120001,1436182802,false,2,0,66,0
0401180014,1436180703,false,3,0,62,1
0936050029,1436182800,false,1,0,9,0
1131010011,1436182800,false,7,32,65,0
1301200010,1436182740,false,5,0,33,2
1536030075,1436182800,false,1,0,1,0
1131050515,1436182744,false,1,0,1,0
1137010024,1436182799,false,0,0,27,0
0617060018,1436182803,false,1,0,45,2
1317040011,1436182803,false,8,0,14,1
0501110514,,false,1,0,6,2
0943030019,1436182800,true,2,0,7,0
1331040513,1436182802,false,9,0,23,0
0421040011,1436182803,true,4,5,37,3
1132070011,1436182802,false,2,0,105,3
1111060015,1436182802,false,0,0,26,1
1302050014,1436182795,true,1,22,84,0
1142100017,1436182802,false,1,0,120,13
0602030026,1436182500,true,2,27,70,0
1140010510,1436182802,false,1,10,25,0
0937010019,1436182804,false,0,0,12,0
1434020015,1436182656,false,2,0,2,0
1122010012,1436182331,false,2,0,14,1
1141310019,,false,8,0,54,0
1141090512,,false,2,0,12,0
1105050012,,false,0,0,11,0
