hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1437679202,false,0,0,87,0
1101020018,1437679800,false,1,0,4,0
1434020015,1437679176,false,1,0,5,0
1131050515,1437679202,false,3,0,8,0
0601160016,,false,0,0,36,0
0936060016,1437679200,false,1,0,4,0
1145010010,1437677280,false,2,0,20,0
0439010518,1437678303,false,1,0,17,0
0401180014,1437678302,false,0,0,82,4
1122010012,1437678948,false,0,0,21,0
1101150011,1437678600,false,1,0,33,0
1131010011,1437679200,false,0,27,74,3
0602030026,1437678900,false,1,0,45,0
1317040011,1437679207,false,0,0,11,0
1142120001,1437679208,false,1,0,49,0
1301200010,1437679140,false,2,0,24,2
0501110514,,false,0,0,2,0
1331040513,1437679207,false,0,0,11,0
0943030019,1437679200,true,0,0,4,0
0936050029,1437679200,false,1,0,3,0
1137010024,1437679197,false,0,0,23,0
0617060018,1437679208,false,1,0,37,0
1536030075,1437679200,false,1,0,3,0
0421040011,1437679208,true,1,0,32,0
1302050014,1437679194,false,1,0,65,0
1132070011,1437679208,false,3,0,126,0
1111060015,1437679207,false,1,0,12,0
1140010510,1437679208,false,0,0,6,0
0937010019,1437679209,false,0,0,15,0
1142100017,1437679208,false,0,0,125,1
1141090512,,false,1,0,13,0
1141310019,,false,1,0,52,1
1105050012,,false,1,0,0,0
1101100011,1437679320,false,1,0,39,0
