hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1432524002,false,2,0,51,3
1131050515,1432523945,false,2,0,6,0
1101020018,1432524600,false,1,4,2,1
1101150011,1432523400,true,6,18,34,0
0601160016,,true,7,0,30,0
0936060016,1432523967,false,3,0,0,0
0501110514,,false,2,0,11,1
1145010010,1432522740,false,0,0,34,1
1122010012,1432523790,false,8,0,15,2
1142120001,1432524002,false,1,0,41,0
1434020015,1432523978,false,1,0,2,1
0401180014,1432523110,true,4,0,98,2
1301200010,1432524000,false,2,0,15,0
1331040513,1432524002,false,4,10,11,0
0943030019,1432524000,false,0,0,3,2
0421040011,1432524003,true,7,8,33,2
0439010518,1432523110,false,0,0,11,0
1317040011,1432524003,false,5,0,7,0
1302050014,1432524000,true,2,25,75,2
1131010011,1432524000,true,5,37,69,4
0936050029,1432524000,false,1,0,2,0
1536030075,1432524000,false,0,0,4,0
1111060015,1432524002,false,0,39,21,3
1132070011,1432524002,true,17,60,203,1
1142100017,1432524002,true,5,107,97,11
0602030026,1432523700,true,1,18,45,3
1140010510,1432524002,false,0,0,26,0
1137010024,1432524000,false,0,0,45,1
0617060018,1432524017,false,5,0,34,1
0937010019,1432524028,false,0,0,10,1
1141090512,,false,0,0,12,0
1105050012,,false,0,0,0,0
1141310019,,false,9,0,23,2
1101100011,1432524120,false,2,45,44,0
