hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1439269202,false,0,0,0,0
1101020018,1439269200,true,0,15,18,3
0601160016,,false,4,0,19,0
1434020015,1439269114,false,0,0,2,0
1101150011,1439268600,true,3,3,34,0
0401180014,1439265903,false,6,10,91,1
1131010011,1439269200,false,3,35,59,0
0936060016,1439269200,false,1,0,2,0
1145010010,1439268540,false,1,0,14,0
1142120001,1439269208,true,3,7,53,1
1317040011,1439269208,false,3,0,20,0
0602030026,1439268900,true,5,19,40,1
0501110514,,false,1,0,13,1
1131050515,1439269154,false,3,0,5,0
1302050014,1439269202,true,5,25,63,1
0439010518,1439265903,false,1,0,19,2
1122010012,1439269191,false,3,0,27,2
1301200010,1439269140,false,3,0,9,3
0617060018,1439269208,true,3,3,39,3
1536030075,1439269200,false,0,0,5,0
1331040513,1439269208,false,7,0,15,1
1137010024,1439269203,false,0,0,20,0
0936050029,1439269200,false,0,0,9,0
0943030019,1439269200,true,1,0,3,0
1111060015,1439269207,false,0,0,21,0
1132070011,1439269208,false,5,0,111,0
0937010019,1439269210,false,0,0,10,0
1142100017,1439269208,false,2,0,78,1
1140010510,1439269208,true,1,6,30,0
1141090512,,false,0,0,27,0
1141310019,,false,5,0,54,1
1105050012,,false,0,0,2,0
0421040011,1439269224,true,2,15,39,3
1101100011,1439269320,false,3,0,45,1
