hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1432932002,false,2,0,58,0
1101020018,1432933200,false,1,0,2,2
0601160016,,false,1,2,19,0
1434020015,1432931857,false,0,0,12,0
1142120001,1432932002,false,1,0,38,0
0936060016,1432931949,false,0,0,0,0
1101150011,1432931400,false,0,0,33,0
0439010518,1432929910,false,0,0,17,0
0401180014,1432929910,false,0,0,61,3
1145010010,1432930080,false,0,0,12,0
1317040011,1432932002,false,0,0,1,0
1301200010,1432931940,false,0,0,27,0
1302050014,1432931990,true,2,0,70,0
0501110514,,false,0,0,1,2
1131010011,1432932000,false,0,27,54,1
0936050029,1432932000,false,0,0,1,0
1131050515,1432931944,false,1,0,7,0
1137010024,1432931996,false,0,0,13,0
1331040513,1432932001,false,3,6,24,0
1536030075,1432932000,false,2,0,1,0
0617060018,1432932002,false,0,0,37,0
1122010012,1432931667,false,1,0,19,0
0421040011,1432932003,false,2,0,16,4
0943030019,1432932000,false,0,0,0,0
1132070011,1432932002,true,1,40,180,1
1111060015,1432932001,false,0,0,19,0
1142100017,1432932002,true,0,90,128,5
0602030026,1432931700,true,0,6,48,0
0937010019,1432932005,false,0,0,4,0
1140010510,1432932002,false,0,0,6,1
1105050012,,false,0,0,1,0
1141090512,,false,0,0,6,0
1141310019,,false,1,0,35,0
1101100011,1432932120,false,1,31,30,0
