hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1439181602,false,0,0,0,0
1434020015,1439181453,false,3,0,2,0
0601160016,,false,9,0,31,1
0936060016,1439181600,false,1,0,1,0
0401180014,1439179502,true,13,10,92,1
1131050515,1439181606,false,1,0,3,2
1145010010,1439180340,false,0,0,18,0
1131010011,1439181600,false,9,34,54,3
1122010012,1439181539,false,5,0,33,8
1301200010,1439181540,false,3,0,14,2
1101150011,1439181000,true,4,0,35,0
0439010518,1439179503,false,1,0,25,1
1142120001,1439181608,false,1,0,42,0
0501110514,,false,1,0,7,4
1317040011,1439181607,false,1,0,14,1
0602030026,1439181300,true,3,7,32,1
1101020018,1439182800,true,1,12,19,0
0936050029,1439181600,false,3,0,5,0
1331040513,1439181607,false,6,16,16,1
1302050014,1439181600,false,3,20,67,2
1536030075,1439181600,false,1,0,3,0
0943030019,1439181600,true,2,0,9,0
1137010024,1439181604,false,0,0,21,3
0617060018,1439181608,false,5,0,28,3
1111060015,1439181607,false,1,0,14,1
1132070011,1439181608,false,2,0,133,1
1140010510,1439181608,false,0,0,26,0
1142100017,1439181608,false,1,0,72,1
0937010019,1439181610,false,0,0,11,1
1105050012,,false,1,0,1,0
1141090512,,true,6,5,25,0
1141310019,,false,9,0,51,1
0421040011,1439181627,true,5,39,39,4
1101100011,1439181720,false,2,8,46,0
