hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1435370401,false,1,0,39,0
1101020018,1435370400,false,1,0,18,0
0601160016,,true,5,2,30,0
1434020015,1435370314,false,2,0,9,2
1142120001,1435370402,false,6,0,50,0
0936060016,1435370185,false,4,0,3,3
1131050515,1435370344,false,1,0,10,0
0602030026,1435370100,true,2,36,64,1
1145010010,1435369740,false,0,0,28,0
0439010518,1435367102,false,3,0,18,1
0401180014,1435367102,false,1,12,72,3
1301200010,1435370340,false,1,0,16,2
0936050029,1435370400,false,2,0,0,0
1317040011,1435370402,false,4,0,5,0
1101150011,1435369800,true,0,8,28,0
0501110514,,false,0,0,8,2
0617060018,1435370402,false,0,0,36,4
1137010024,1435370401,false,0,0,43,1
1536030075,1435370400,false,0,0,2,0
1331040513,1435370402,false,1,10,26,0
0943030019,1435370400,false,2,0,10,1
0421040011,1435370403,false,3,0,11,1
1131100010,1435370400,false,0,0,17,0
1131010011,1435370400,true,2,27,75,0
1140010510,1435370402,false,3,0,21,0
1111060015,1435370402,false,2,0,25,1
1132070011,1435370402,false,4,0,144,3
1142100017,1435370402,false,3,0,91,7
0937010019,1435370404,false,0,0,8,0
1105050012,,false,1,0,1,0
1141090512,,false,3,0,17,0
1302050014,1435370384,true,1,12,71,0
1141310019,,false,2,0,63,0
1122010012,1435370376,false,5,0,25,2
1101100011,1435370520,false,1,6,38,0
