hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1431758401,false,0,0,34,6
1131050515,1431758342,false,3,0,0,0
0439010518,1431756308,false,0,0,16,0
1101150011,1431757800,true,5,16,29,0
1142120001,1431758401,false,3,0,5,0
0601160016,,true,8,0,28,0
1101020018,1431759600,false,2,0,4,2
0936060016,1431758298,false,4,0,0,0
1434020015,1431758255,false,4,0,1,0
1145010010,1431756540,true,0,0,24,0
0401180014,1431756308,true,1,5,85,6
1317040011,1431758402,false,4,0,9,0
1122010012,1431758375,null,4,0,12,2
1301200010,1431758400,false,4,0,21,0
1302050014,1431758402,false,1,0,44,0
0936050029,1431758400,false,1,0,0,0
0501110514,,false,3,0,5,1
1137010024,1431758401,false,0,0,10,0
1536030075,1431758400,false,0,0,1,0
1331040513,1431758401,false,7,0,7,0
0617060018,1431758402,false,1,0,29,4
1131010011,1431758400,false,8,24,42,1
0943030019,1431758400,false,1,0,2,0
0421040011,1431758402,true,4,1,17,4
1132070011,1431758401,true,5,84,177,1
1111060015,1431758401,false,0,0,13,0
0602030026,1431758100,false,5,0,21,1
1140010510,1431758401,false,0,0,10,0
1142100017,1431758401,true,1,84,65,2
0937010019,1431758403,false,0,0,4,0
1141090512,,false,2,0,3,0
1105050012,,false,0,0,0,0
1141310019,,false,4,0,8,0
1101100011,1431758520,false,2,42,28,0
