hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1434375602,false,3,0,65,7
0601160016,,false,3,0,27,0
1101020018,1434376800,false,3,2,12,0
1434020015,1434375453,false,7,0,9,0
0936060016,1434375572,false,2,0,2,0
1145010010,1434374340,true,0,0,35,0
1101150011,1434375000,true,5,20,30,1
1122010012,1434375540,false,5,0,20,4
1302050014,1434375594,true,2,47,97,5
0401180014,1434373501,true,11,11,77,4
1142120001,1434375602,false,5,0,61,0
0439010518,1434373501,false,2,0,15,2
0617060018,1434375602,false,3,0,28,3
1137010024,1434375597,false,0,0,42,0
0936050029,1434375600,false,0,0,13,0
1536030075,1434375600,false,0,0,5,1
0501110514,,false,2,0,7,0
1331040513,1434375601,false,1,12,19,3
0421040011,1434375603,true,10,21,29,2
1301200010,1434375600,false,6,0,30,0
1132070011,1434375602,true,14,49,176,0
1111060015,1434375602,false,2,0,9,0
1142100017,1434375602,true,2,148,132,5
1140010510,1434375602,false,1,0,9,0
0602030026,1434375300,true,3,27,55,0
1131100010,1434375600,false,0,0,14,0
0943030019,1434375600,false,0,0,1,0
0937010019,1434375604,false,0,0,6,0
1131050515,1434375602,false,4,0,0,1
1317040011,1434375607,false,2,0,14,0
1131010011,1434375600,false,6,29,46,0
1105050012,,true,2,1,19,0
1141090512,,false,12,0,18,0
1141310019,,false,5,0,48,2
1101100011,1434375720,false,4,20,41,0
