hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1434890402,false,8,0,43,3
1131050515,1434890344,false,12,0,3,2
1101020018,1434891600,false,6,0,3,2
1434020015,1434890255,false,3,0,5,0
0601160016,,false,3,0,23,1
1142120001,1434890402,false,7,0,43,0
0439010518,1434888302,false,2,0,16,0
0936060016,1434890274,false,6,0,2,0
1302050014,1434890387,true,8,39,73,4
1101150011,1434889800,true,1,6,26,0
0501110514,,false,2,0,2,0
0401180014,1434888302,false,7,10,86,4
1145010010,1434889140,false,2,0,21,0
1301200010,1434890400,false,7,0,11,1
1137010024,1434890399,false,0,0,42,0
0617060018,1434890403,false,2,0,37,3
1536030075,1434890340,false,3,0,4,0
0936050029,1434890340,false,3,0,8,0
1331040513,1434890402,false,7,2,2,0
0943030019,1434890400,false,2,0,1,0
1131100010,1434890400,false,2,0,12,0
0421040011,1434890403,true,7,0,22,3
1111060015,1434890402,false,8,0,11,0
1132070011,1434890402,false,12,0,164,1
1142100017,1434890402,true,7,125,111,4
1140010510,1434890402,false,4,0,19,1
0602030026,1434890100,true,5,25,44,0
1131010011,1434890400,true,12,46,71,1
0937010019,1434890404,false,0,0,14,1
1317040011,1434890406,false,9,0,4,0
1122010012,1434890391,false,12,0,30,2
1105050012,,false,2,0,23,0
1141090512,,false,5,0,11,0
1141310019,,false,15,0,36,5
1101100011,1434890520,false,4,19,29,0
