hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1438448402,false,0,0,0,0
1434020015,1438448315,false,2,0,0,0
1101020018,1438448400,false,2,0,0,0
0601160016,,false,4,0,10,1
0401180014,1438445104,false,4,10,94,0
1145010010,1438053480,false,0,0,24,1
0936060016,1438448400,false,1,0,1,0
1101150011,1438447800,false,2,0,19,0
1122010012,1438448297,false,4,0,12,1
1301200010,1438448340,false,2,0,9,4
1131010011,1438448400,false,5,21,36,0
0439010518,1438445105,false,1,0,13,1
0602030026,1438448100,false,4,0,43,0
1142120001,1438448408,false,2,0,19,0
1302050014,1438448398,false,4,6,57,1
1317040011,1438448408,false,4,0,7,0
1331040513,1438448407,false,1,0,6,0
1536030075,1438448400,false,1,0,0,0
0936050029,1438448400,false,1,0,0,0
1137010024,1438448406,false,0,0,17,0
1131050515,1438448406,false,1,0,5,0
0617060018,1438448408,false,0,0,38,0
0943030019,1438448400,true,0,0,7,0
0501110514,,false,0,0,6,0
0421040011,1438448409,false,6,0,19,1
1141310019,,false,1,0,11,0
1105050012,,false,1,0,0,0
1141090512,,false,0,0,3,0
1111060015,1438448407,false,0,0,3,0
1132070011,1438448408,false,4,0,110,2
1140010510,1438448408,false,0,0,8,2
1142100017,1438448408,false,1,0,68,0
0937010019,1438448417,false,0,0,2,0
1101100011,1438448520,false,3,0,14,0
