hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1429947602,false,0,0,20,6
1131050515,1429947542,false,3,0,2,0
1101020018,1429948800,false,0,0,8,5
0601160016,,false,4,0,10,0
1101150011,1429947000,true,0,0,33,0
1142120001,1429947602,false,2,0,25,0
0936060016,1429947455,false,2,0,1,0
1145010010,1429946340,false,0,0,9,0
0439010518,1429945510,false,0,0,8,0
0401180014,1429945510,false,2,0,94,6
1317040011,1429947602,false,2,0,7,0
1434020015,1429947493,false,0,0,0,0
1122010012,1429947572,false,5,0,10,3
1301200010,1429947600,false,1,0,7,0
0501110514,,false,1,0,3,1
0617060018,1429947603,false,0,0,48,0
1137010024,1429947601,false,0,0,14,1
1536030075,1429947600,false,0,0,4,0
1331040513,1429947602,false,1,0,7,1
0936050029,1429947600,false,2,0,3,0
1302050014,1429947605,false,5,0,20,0
0943030019,1429947600,false,1,0,6,0
0421040011,1429947603,false,0,0,6,2
1131010011,1429947600,false,7,21,35,1
1132070011,1429947603,false,2,0,124,3
1111060015,1429947603,false,0,0,19,0
1142100017,1429947603,false,0,0,100,1
0602030026,1429947000,false,2,0,30,1
1140010510,1429947603,false,1,0,3,0
0937010019,1429947605,false,0,0,1,0
1141310019,,false,6,0,13,0
1141090512,,false,2,0,1,0
1105050012,,false,0,0,0,0
1101100011,1429947720,false,1,48,39,0
