hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1437936002,false,0,0,68,1
1101020018,1437937200,false,3,0,8,2
1131050515,1437936005,false,0,0,9,1
0601160016,,false,2,0,17,0
0936060016,1437936000,false,0,0,0,0
1101150011,1437935400,false,2,19,41,0
1145010010,1437934680,false,0,0,29,0
1434020015,1437935855,false,1,0,8,0
0401180014,1437933909,true,1,0,104,1
0439010518,1437933909,false,0,0,15,0
1122010012,1437935871,false,3,0,16,1
1301200010,1437935940,false,1,0,17,2
1131010011,1437936000,false,3,38,65,1
1142120001,1437936007,false,3,0,57,0
1317040011,1437936007,false,2,0,9,0
0602030026,1437935700,true,0,1,47,2
0501110514,,false,0,0,1,0
1302050014,1437935999,false,1,2,61,5
0936050029,1437936000,false,0,0,2,0
1331040513,1437936007,false,2,0,8,0
1137010024,1437936002,false,0,0,37,0
1536030075,1437936000,false,0,0,1,0
0617060018,1437936008,false,0,0,36,0
1111060015,1437936006,false,1,0,22,0
0943030019,1437936000,true,0,0,0,0
0421040011,1437936008,false,2,0,35,2
1132070011,1437936007,true,1,18,155,0
0937010019,1437936009,false,0,0,14,0
1142100017,1437936007,false,0,0,124,0
1140010510,1437936007,false,0,0,10,0
1141090512,,false,0,0,6,0
1141310019,,false,2,0,22,0
1105050012,,false,1,0,0,0
1101100011,1437936120,false,3,0,31,0
