hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1101150011,1440599400,false,6,1,27,0
1131050515,1440599943,false,1,0,2,0
1317050017,1440600002,false,0,0,0,0
0439010518,1440597903,false,5,0,11,0
1101020018,1440601200,false,0,0,13,1
1142120001,1440600002,false,3,0,34,0
1434020015,1440599852,false,2,0,1,0
0601160016,,false,3,0,9,0
0602030026,1440599700,false,0,0,38,1
0936060016,1440600000,false,2,0,0,0
1145010010,1440598740,false,0,0,9,0
1317040011,1440600002,false,3,0,6,0
0401180014,1440597903,false,1,0,80,2
1301200010,1440599940,false,1,0,11,0
1122010012,1440599997,false,2,0,22,1
0936050029,1440600000,false,0,0,0,0
1536030075,1440600000,false,0,0,1,0
1131010011,1440600000,false,8,31,44,0
0501110514,,false,1,0,5,0
0617060018,1440600003,false,2,0,34,0
1331040513,1440600002,false,2,0,8,0
0943030019,1440600000,true,1,0,0,0
1111060015,1440600002,false,1,0,3,0
1142100017,1440600002,false,0,0,74,4
1140010510,1440600002,false,0,0,12,0
0937010019,1440600004,false,0,0,7,0
1137010024,1440599996,false,0,0,15,1
1302050014,1440599976,false,3,0,40,0
1132070011,1440600002,false,5,0,87,1
0421040011,1440600009,false,3,0,16,0
1141090512,,false,0,0,8,0
1141310019,,false,9,0,41,0
1105050012,,false,1,0,2,0
