hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1432372802,false,1,0,30,3
1131050515,1432372753,false,0,0,0,0
1101020018,1432373400,false,0,0,2,0
0601160016,,false,3,0,21,0
1142120001,1432372802,false,4,0,15,0
0936060016,1432372550,false,3,0,1,1
1434020015,1432372775,false,2,0,1,0
1101150011,1432372200,true,0,0,34,0
0439010518,1432371910,false,0,0,7,0
1302050014,1432372796,true,1,0,43,5
0401180014,1432371910,false,2,2,72,6
1145010010,1432372140,true,1,0,16,0
1122010012,1432372752,false,2,0,11,3
1301200010,1432372740,false,1,0,9,0
0936050029,1432372800,false,1,0,0,0
1331040513,1432372801,false,0,0,12,1
1536030075,1432372800,false,0,0,3,0
1137010024,1432372801,false,0,0,19,1
0617060018,1432372802,false,4,0,28,2
0943030019,1432372800,false,1,0,0,0
0421040011,1432372803,false,2,0,17,0
1131010011,1432372800,true,3,28,51,0
1132070011,1432372802,false,1,0,119,0
1111060015,1432372802,false,1,29,13,3
1142100017,1432372802,true,0,76,66,3
0602030026,1432372503,false,2,0,17,0
0937010019,1432372804,false,0,0,3,0
1140010510,1432372802,false,1,0,9,0
1317040011,1432372806,false,2,0,4,0
1141090512,,false,3,0,9,0
1141310019,,false,2,0,8,0
1105050012,,false,0,0,0,0
1101100011,1432372920,false,3,24,20,0
