hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1433133603,false,2,0,57,5
1131050515,1433133546,false,5,0,3,2
1101150011,1433133000,false,2,1,33,0
1142120001,1433133602,true,4,16,54,0
1145010010,1433132340,false,1,0,13,0
0601160016,,true,12,1,24,0
1101020018,1433134800,false,3,0,5,1
0439010518,1433131513,false,0,0,17,0
0401180014,1433131512,true,11,18,95,4
1434020015,1433133456,false,1,0,6,1
1301200010,1433133600,false,2,0,4,0
0936060016,1433133559,false,2,0,2,0
1302050014,1433133594,true,4,28,75,5
1317040011,1433133602,false,5,0,15,0
1137010024,1433133593,false,0,0,34,1
0421040011,1433133603,false,5,0,14,4
0501110514,,false,1,0,11,3
1331040513,1433133602,true,6,21,9,1
0617060018,1433133603,false,6,0,43,3
0936050029,1433133540,false,0,0,6,0
1536030075,1433133540,false,2,0,1,0
1132070011,1433133602,true,7,70,205,4
1111060015,1433133602,false,4,0,21,0
1131010011,1433133600,true,8,35,70,2
1142100017,1433133602,true,0,108,136,10
1140010510,1433133602,false,1,0,12,1
0937010019,1433133607,false,0,0,21,0
1122010012,1433133557,false,12,0,33,6
0602030026,1433133300,true,2,40,64,0
0943030019,1433133600,false,2,0,6,1
1105050012,,false,0,0,12,0
1141310019,,false,5,0,40,2
1141090512,,true,3,9,17,0
1101100011,1433133720,false,2,56,50,2
