hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1445954404,false,0,0,52,0
1101150011,1445953800,false,5,0,17,0
0439010518,1445951104,false,3,0,4,0
0602030026,1445954101,true,0,16,53,1
1317040011,1445954402,false,8,0,5,2
1142120001,1445954403,false,4,0,4,0
1131050515,1445954342,false,1,0,1,0
1137010024,1445954404,false,0,0,12,0
0617060018,1445954403,false,5,0,43,2
0936050029,1445954400,false,1,0,3,0
1536030075,1445954400,false,0,0,4,0
0421040011,1445954403,false,1,0,27,1
1302050014,1445954389,true,0,0,0,0
1132070011,1445954402,false,2,0,91,1
1140010510,1445954402,false,0,0,16,0
1142100017,1445954402,true,3,139,119,2
0601160016,,false,3,0,19,0
1111060015,1445954402,false,2,0,9,0
0501110514,,false,0,0,7,1
1101020018,1445954400,false,1,0,2,0
0936060016,1445954400,false,2,0,0,0
1122010012,1445954328,false,15,0,34,2
1434020015,1445954312,false,1,0,0,0
1145010010,1445952540,false,0,0,8,0
0401180014,1445951104,true,2,2,66,0
1301200010,1445954340,false,6,0,12,0
1131010011,1445954400,true,2,36,59,1
1331040513,1445954406,false,1,0,15,1
0937010019,1445954408,false,0,0,3,0
0943030019,1445954340,false,2,0,0,0
1141310019,,false,4,0,22,0
1141090512,,false,1,0,24,0
1105050012,,false,0,0,1,0
1101100011,1445954520,false,5,14,36,0
