hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1442271603,false,0,0,63,1
1101150011,1442271000,false,0,0,35,0
0601160016,,false,1,0,21,0
1101020018,1442271600,false,0,0,16,4
0439010518,1442268303,false,0,0,26,1
1434020015,1442271512,false,0,0,1,0
0602030026,1442271301,true,1,2,55,1
1142120001,1442271602,false,0,0,34,0
1317040011,1442271601,false,0,0,2,0
1145010010,1442270940,false,0,0,8,0
0401180014,1442268303,false,2,0,61,0
0936060016,1442271600,false,0,0,0,0
1131010011,1442271600,false,3,33,61,0
1122010012,1442271545,false,2,0,25,0
0936050029,1442271600,false,0,0,0,0
1536030075,1442271600,false,1,0,2,0
1301200010,1442271600,false,0,0,11,1
1137010024,1442271599,false,0,0,20,0
0501110514,,false,0,0,12,1
1331040513,1442271601,false,2,0,23,0
0617060018,1442271602,false,0,0,44,2
1302050014,1442271595,true,0,0,0,0
1111060015,1442271601,false,1,0,24,0
1132070011,1442271601,false,0,0,124,1
1140010510,1442271602,false,1,0,28,0
1142100017,1442271602,false,0,0,94,3
1141310019,,false,3,0,70,0
1141090512,,false,0,0,11,0
1105050012,,false,0,0,16,0
0937010019,1442271607,false,0,0,5,1
0421040011,1442271609,true,4,19,54,2
0943030019,1442271600,false,0,0,0,1
1131050515,1442271732,true,0,0,0,0
1101100011,1442271780,false,2,0,37,0
