hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1439757602,false,0,0,0,0
1101020018,1439758800,false,0,0,6,1
0601160016,,false,0,0,12,0
1131050515,1439757605,false,2,0,8,0
1145010010,1439756340,false,0,0,17,0
0401180014,1439755504,false,0,0,81,1
1101150011,1439757000,false,0,0,34,1
0936060016,1439757600,false,1,0,0,0
1131010011,1439757600,false,3,30,58,1
1301200010,1439757600,false,4,0,8,0
1122010012,1439757048,false,0,0,26,0
1317040011,1439757608,false,1,0,7,0
0439010518,1439755504,false,0,0,13,0
0501110514,,false,1,0,4,1
0602030026,1439757300,false,0,0,35,0
1142120001,1439757608,false,2,0,67,0
1331040513,1439757607,false,1,0,17,0
0936050029,1439757600,false,0,0,0,0
1137010024,1439757604,false,0,0,17,0
1111060015,1439757607,false,0,38,24,2
0617060018,1439757608,false,0,0,34,0
1536030075,1439757600,false,0,0,1,0
0943030019,1439757600,true,1,0,0,0
1132070011,1439757608,false,5,0,116,1
1140010510,1439757608,false,0,0,22,0
1142100017,1439757608,false,1,0,96,1
0937010019,1439757609,false,0,0,3,0
1302050014,1439757600,false,0,4,68,0
1141090512,,false,1,0,6,0
1105050012,,false,0,0,1,0
1141310019,,false,4,0,38,4
1434020015,1439757451,false,1,0,4,0
0421040011,1439757623,true,1,16,40,2
1101100011,1439757720,false,3,0,22,0
